"","id","name","cname","date","variable","aoi","mean"
"1",1,NA,"X_2019.01.01",2019-01-01,"CH4","AOI_BO_City",1822.67639453418
"2",1,NA,"X_2019.02.01",2019-02-01,"CH4","AOI_BO_City",1809.19552861864
"3",1,NA,"X_2019.03.01",2019-03-01,"CH4","AOI_BO_City",1833.38018302671
"4",1,NA,"X_2019.04.01",2019-04-01,"CH4","AOI_BO_City",1825.87114342392
"5",1,NA,"X_2019.05.01",2019-05-01,"CH4","AOI_BO_City",1832.36010242169
"6",1,NA,"X_2019.06.01",2019-06-01,"CH4","AOI_BO_City",1826.79411431135
"7",1,NA,"X_2019.07.01",2019-07-01,"CH4","AOI_BO_City",1837.03750281025
"8",1,NA,"X_2019.08.01",2019-08-01,"CH4","AOI_BO_City",1844.34112229506
"9",1,NA,"X_2019.09.01",2019-09-01,"CH4","AOI_BO_City",1845.62313572249
"10",1,NA,"X_2019.10.01",2019-10-01,"CH4","AOI_BO_City",1843.98384562866
"11",1,NA,"X_2019.11.01",2019-11-01,"CH4","AOI_BO_City",1845.50533921179
"12",1,NA,"X_2019.12.01",2019-12-01,"CH4","AOI_BO_City",1829.53647793137
"13",1,NA,"X_2020.01.01",2020-01-01,"CH4","AOI_BO_City",1849.13236256135
"14",1,NA,"X_2020.02.01",2020-02-01,"CH4","AOI_BO_City",1850.32170335886
"15",1,NA,"X_2020.03.01",2020-03-01,"CH4","AOI_BO_City",1835.36701998091
"16",1,NA,"X_2020.04.01",2020-04-01,"CH4","AOI_BO_City",1836.87499066798
"17",1,NA,"X_2020.05.01",2020-05-01,"CH4","AOI_BO_City",1834.89824391929
"18",1,NA,"X_2020.06.01",2020-06-01,"CH4","AOI_BO_City",1827.90879310989
"19",1,NA,"X_2020.07.01",2020-07-01,"CH4","AOI_BO_City",1847.24965449105
"20",1,NA,"X_2020.08.01",2020-08-01,"CH4","AOI_BO_City",1856.96955775502
"21",1,NA,"X_2020.09.01",2020-09-01,"CH4","AOI_BO_City",1861.54193585727
"22",1,NA,"X_2020.10.01",2020-10-01,"CH4","AOI_BO_City",1860.59612224877
"23",1,NA,"X_2020.11.01",2020-11-01,"CH4","AOI_BO_City",1850.68612715655
"24",1,NA,"X_2020.12.01",2020-12-01,"CH4","AOI_BO_City",1850.52184298525
"25",1,NA,"X_2021.01.01",2021-01-01,"CH4","AOI_BO_City",1843.38598365846
"26",1,NA,"X_2021.02.01",2021-02-01,"CH4","AOI_BO_City",1852.34958090048
"27",1,NA,"X_2021.03.01",2021-03-01,"CH4","AOI_BO_City",1857.60001382097
"28",1,NA,"X_2021.04.01",2021-04-01,"CH4","AOI_BO_City",1841.9394245861
"29",1,NA,"X_2021.05.01",2021-05-01,"CH4","AOI_BO_City",1851.36469373416
"30",1,NA,"X_2021.06.01",2021-06-01,"CH4","AOI_BO_City",1856.54934239151
"31",1,NA,"X_2021.07.01",2021-07-01,"CH4","AOI_BO_City",1847.92426488733
"32",1,NA,"X_2021.08.01",2021-08-01,"CH4","AOI_BO_City",1857.89525713607
"33",1,NA,"X_2021.09.01",2021-09-01,"CH4","AOI_BO_City",1878.95735749383
"34",1,NA,"X_2021.10.01",2021-10-01,"CH4","AOI_BO_City",1869.83480451929
"35",1,NA,"X_2021.11.01",2021-11-01,"CH4","AOI_BO_City",1890.09031845547
"36",1,NA,"X_2021.12.01",2021-12-01,"CH4","AOI_BO_City",1893.38765443356
"37",1,NA,"X_2022.01.01",2022-01-01,"CH4","AOI_BO_City",1879.89071867577
"38",1,NA,"X_2022.02.01",2022-02-01,"CH4","AOI_BO_City",1873.42390449644
"39",1,NA,"X_2022.03.01",2022-03-01,"CH4","AOI_BO_City",1867.12653789212
"40",1,NA,"X_2022.04.01",2022-04-01,"CH4","AOI_BO_City",1867.7845155095
"41",1,NA,"X_2022.05.01",2022-05-01,"CH4","AOI_BO_City",1866.9883281595
"42",1,NA,"X_2022.06.01",2022-06-01,"CH4","AOI_BO_City",1876.04994480099
"43",1,NA,"X_2022.07.01",2022-07-01,"CH4","AOI_BO_City",1879.70265124139
"44",1,NA,"X_2022.08.01",2022-08-01,"CH4","AOI_BO_City",1876.94958479116
"45",1,NA,"X_2022.09.01",2022-09-01,"CH4","AOI_BO_City",1892.41689127642
"46",1,NA,"X_2022.10.01",2022-10-01,"CH4","AOI_BO_City",1904.23196027247
"47",1,NA,"X_2022.11.01",2022-11-01,"CH4","AOI_BO_City",1907.15186777602
"48",1,NA,"X_2022.12.01",2022-12-01,"CH4","AOI_BO_City",1900.66181721846
"49",1,NA,"X_2023.01.01",2023-01-01,"CH4","AOI_BO_City",1902.46917086557
"50",1,NA,"X_2023.02.01",2023-02-01,"CH4","AOI_BO_City",1885.7298609199
"51",1,NA,"X_2023.03.01",2023-03-01,"CH4","AOI_BO_City",1883.39591818388
"52",1,NA,"X_2023.04.01",2023-04-01,"CH4","AOI_BO_City",1896.50044794975
"53",1,NA,"X_2023.05.01",2023-05-01,"CH4","AOI_BO_City",1882.83633705067
"54",1,NA,"X_2023.06.01",2023-06-01,"CH4","AOI_BO_City",1880.93526760892
"55",1,NA,"X_2023.07.01",2023-07-01,"CH4","AOI_BO_City",1883.10580381272
"56",1,NA,"X_2023.08.01",2023-08-01,"CH4","AOI_BO_City",1871.38617568418
"57",1,NA,"X_2023.09.01",2023-09-01,"CH4","AOI_BO_City",1893.19496988433
"58",1,NA,"X_2023.10.01",2023-10-01,"CH4","AOI_BO_City",1898.5342921746
"59",1,NA,"X_2023.11.01",2023-11-01,"CH4","AOI_BO_City",1911.38805835993
"60",1,NA,"X_2023.12.01",2023-12-01,"CH4","AOI_BO_City",1905.92708571813
"61",1,NA,"X_2024.01.01",2024-01-01,"CH4","AOI_BO_City",1908.46206735275
"62",1,NA,"X_2024.02.01",2024-02-01,"CH4","AOI_BO_City",1901.9354006364
"63",1,NA,"X_2024.03.01",2024-03-01,"CH4","AOI_BO_City",1892.90813952359
"64",1,NA,"X_2024.04.01",2024-04-01,"CH4","AOI_BO_City",1902.54989737214
"65",1,NA,"X_2024.05.01",2024-05-01,"CH4","AOI_BO_City",1902.40233082284
