"","id","name","cname","date","variable","aoi","mean"
"1",1,NA,"X_2019.01.01",2019-01-01,"NO2","AOI_BO_City",5.33448721769648e-05
"2",1,NA,"X_2019.02.01",2019-02-01,"NO2","AOI_BO_City",4.86641507162173e-05
"3",1,NA,"X_2019.03.01",2019-03-01,"NO2","AOI_BO_City",5.7109632210096e-05
"4",1,NA,"X_2019.04.01",2019-04-01,"NO2","AOI_BO_City",3.96703441996982e-05
"5",1,NA,"X_2019.05.01",2019-05-01,"NO2","AOI_BO_City",3.74189520100673e-05
"6",1,NA,"X_2019.06.01",2019-06-01,"NO2","AOI_BO_City",3.50024298069665e-05
"7",1,NA,"X_2019.07.01",2019-07-01,"NO2","AOI_BO_City",3.24933025348693e-05
"8",1,NA,"X_2019.08.01",2019-08-01,"NO2","AOI_BO_City",2.88073945416726e-05
"9",1,NA,"X_2019.09.01",2019-09-01,"NO2","AOI_BO_City",3.28993652735801e-05
"10",1,NA,"X_2019.10.01",2019-10-01,"NO2","AOI_BO_City",5.02870470730162e-05
"11",1,NA,"X_2019.11.01",2019-11-01,"NO2","AOI_BO_City",5.70335039805517e-05
"12",1,NA,"X_2019.12.01",2019-12-01,"NO2","AOI_BO_City",4.78569945009652e-05
"13",1,NA,"X_2020.01.01",2020-01-01,"NO2","AOI_BO_City",6.54724584674937e-05
"14",1,NA,"X_2020.02.01",2020-02-01,"NO2","AOI_BO_City",4.8622563170303e-05
"15",1,NA,"X_2020.03.01",2020-03-01,"NO2","AOI_BO_City",3.78515155423593e-05
"16",1,NA,"X_2020.04.01",2020-04-01,"NO2","AOI_BO_City",4.11696349825193e-05
"17",1,NA,"X_2020.05.01",2020-05-01,"NO2","AOI_BO_City",3.09541271297072e-05
"18",1,NA,"X_2020.06.01",2020-06-01,"NO2","AOI_BO_City",2.7987118470618e-05
"19",1,NA,"X_2020.07.01",2020-07-01,"NO2","AOI_BO_City",3.22979943577162e-05
"20",1,NA,"X_2020.08.01",2020-08-01,"NO2","AOI_BO_City",2.7993565628852e-05
"21",1,NA,"X_2020.09.01",2020-09-01,"NO2","AOI_BO_City",2.88814937971409e-05
"22",1,NA,"X_2020.10.01",2020-10-01,"NO2","AOI_BO_City",3.42547345190157e-05
"23",1,NA,"X_2020.11.01",2020-11-01,"NO2","AOI_BO_City",5.36134367599909e-05
"24",1,NA,"X_2020.12.01",2020-12-01,"NO2","AOI_BO_City",7.16925462786231e-05
"25",1,NA,"X_2021.01.01",2021-01-01,"NO2","AOI_BO_City",4.31822912942074e-05
"26",1,NA,"X_2021.02.01",2021-02-01,"NO2","AOI_BO_City",5.40446553088499e-05
"27",1,NA,"X_2021.03.01",2021-03-01,"NO2","AOI_BO_City",5.73361824931532e-05
"28",1,NA,"X_2021.04.01",2021-04-01,"NO2","AOI_BO_City",3.95784788920368e-05
"29",1,NA,"X_2021.05.01",2021-05-01,"NO2","AOI_BO_City",3.26665285314613e-05
"30",1,NA,"X_2021.06.01",2021-06-01,"NO2","AOI_BO_City",3.38302532047768e-05
"31",1,NA,"X_2021.07.01",2021-07-01,"NO2","AOI_BO_City",3.67996252700369e-05
